,,,,,,,,,,,,Theoritical CS,,,,Computer system,,,,,AI,,,,,,,Applied CS,,,,,,,"Society, ethics and professionalism"
Programme M1 ALMA,,,,,,,,,,,,"MSF (Proof, graph proba)",(AL) Algorithm and Complexity,Modeling,PL and formal methods,Computer architecture and orga,"Concurrent, parallel and distributed computing",Networks,security and crypto,Database and mining,Search and opti,Logic,Proba for uncertain reasonning,Classifier,Machine learning,Neural network,Language and hardware,Commputer graphics and visu,Natural Language Processing,Image and sound processing,Computational science,Social computing and HCI,Software engineering,Specialized Platform ,"Society, ethics and professionalism"
1er   SEMESTRE,Code,ECTS,CM,CI,TD,TP,Distanciel,Total,AN,SEM,GroupUE,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'UE : Tronc commun (6 ECTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphes,X1II010,2,12,0,9.33,0,2.67,24,M1,S1,TC,x,x,x,,,,,,,,,,,,,,,,,,,,,
Complexité et algorithmes,X1II030,2,12,0,9.33,0,2.67,24,M1,S1,TC,,x,,,,,,,,,,,,,,,,,,,,,,
Anglais scientifique,X1II040,2,0,0,18,0,2,20,M1,S1,TC,,,,,,,,,,,,,,,,,,,,,,,,x
Groupe d'UE : Tronc commun. Choix 1 (3 ECTS) choix parmi les blocs de type BLOC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Communication, connaissance de l'entreprise",X1II050,2,0,0,9,0,3,12,M1,S1,"BLOC1,1",,,,,,,,,,,,,,,,,,,,,,,,x
Introduction à la recherche,X1II060,1,10.67,0,0,0,1.33,12,M1,S1,"BLOC1,1",,,,,,,,,,,,,,,,,,,,,,,,x
Groupe d'UE : Tronc commun. Choix 2 (3 ECTS) choix parmi les blocs de type BLOC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management à Visée Innovante et Entrepreunariale,X1LI010,3,18,0,0,0,7,25,M1,S1,"BLOC1,2",,,,,,,,,,,,,,,,,,,,,,,,x
Groupe d'UE : BOUQUET Logiciel (21 ECTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preuves et Constructions Formelles,X1I1080,2,2.67,0,13.33,5.33,2.67,24,M1,S1,BLOG,x,,,x,,,,,,,,,,,,,,,,,,,,
"Analyse, conception et mise en oeuvre de logiciels",X1I1010,6,20,0,20,14,6,60,M1,S1,BLOG,,,x,,,,,,,,,,,,,,,,,,,x,,
Test logiciel,X1I1020,3,8,0,8,5.33,2.67,24,M1,S1,BLOG,,,,,,,,,,,,,,,,,,,,,,x,,
